,value
0,58532
1,76921
2,56498
3,29562
4,48071
5,11686
6,27557
7,61635
8,86132
9,47005
10,89428
11,79240
12,37916
13,38676
14,77620
15,28909
16,22732
17,78420
18,60017
19,96608
20,93509
21,12450
22,44119
23,83603
24,71229
25,46735
26,79477
27,82431
28,67337
29,65554
30,96961
31,76344
32,37075
33,26593
34,58010
35,94258
36,31811
37,11613
38,30072
39,3183
40,20889
41,23075
42,27113
43,3438
44,12229
45,57645
46,30362
47,38971
48,12772
49,22204
50,98796
51,82003
52,34114
53,65520
54,31040
55,98045
56,87830
57,38311
58,20277
59,15266
60,69209
61,42535
62,72701
63,52645
64,77072
65,73381
66,31257
67,47115
68,38815
69,1259
70,78688
71,33243
72,82662
73,55830
74,4217
75,20386
76,4673
77,40717
78,50164
79,30550
80,25168
81,8781
82,82981
83,11737
84,81551
85,9908
86,78087
87,17128
88,54823
89,10391
90,28018
91,58208
92,66897
93,71603
94,37392
95,240
96,28010
97,69911
98,37005
99,86471
100,26100
101,75940
102,28810
103,28052
104,65894
105,97768
106,51684
107,64776
108,66838
109,57155
110,60196
111,9140
112,54971
113,31073
114,67730
115,2783
116,67546
117,8950
118,43542
119,84947
120,48419
121,21189
122,95515
123,56392
124,60583
125,80545
126,523
127,81423
128,4755
129,81375
130,38306
131,69607
132,26564
133,44347
134,22577
135,4552
136,59690
137,24134
138,78383
139,45178
140,29666
141,15985
142,57186
143,11813
144,60885
145,31341
146,80836
147,3139
148,97846
149,4166
150,65327
151,47537
152,2742
153,28562
154,70517
155,59047
156,88073
157,37891
158,14598
159,88822
160,30678
161,3401
162,41602
163,246
164,36121
165,16757
166,47809
167,5678
168,66955
169,84608
170,46737
171,71980
172,34376
173,1297
174,10064
175,20511
176,13598
177,3309
178,22123
179,42129
180,17709
181,95984
182,63224
183,28427
184,36505
185,40210
186,34024
187,67510
188,69083
189,12027
190,99347
191,54368
192,83112
193,80282
194,95928
195,38157
196,28467
197,44209
198,33061
199,560
200,67720
201,39063
202,84363
203,44423
204,72242
205,9847
206,97801
207,94752
208,54422
209,43962
210,63555
211,69459
212,7220
213,50387
214,53683
215,21510
216,51191
217,78708
218,6007
219,53706
220,37538
221,46971
222,59203
223,78268
224,68317
225,33634
226,21345
227,81450
228,14429
229,6336
